,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,14.10.2021,00:00,00:15,209,213386,-,-
1,14.10.2021,00:15,00:30,0,237756,-,-
2,14.10.2021,00:30,00:45,868,21500,-,-
3,14.10.2021,00:45,01:00,3480,0,-,-
4,14.10.2021,01:00,01:15,1959,802,-,-
5,14.10.2021,01:15,01:30,3355,325,-,-
6,14.10.2021,01:30,01:45,4302,61,-,-
7,14.10.2021,01:45,02:00,1012,273,-,-
8,14.10.2021,02:00,02:15,239,26473,-,-
9,14.10.2021,02:15,02:30,453,17410,-,-
10,14.10.2021,02:30,02:45,99726,0,-,-
11,14.10.2021,02:45,03:00,160841,0,-,-
12,14.10.2021,03:00,03:15,223589,0,-,-
13,14.10.2021,03:15,03:30,210824,0,-,-
14,14.10.2021,03:30,03:45,1349,68,-,-
15,14.10.2021,03:45,04:00,1505,0,-,-
16,14.10.2021,04:00,04:15,13,35839,-,-
17,14.10.2021,04:15,04:30,522,1048,-,-
18,14.10.2021,04:30,04:45,98,134657,-,-
19,14.10.2021,04:45,05:00,0,216005,-,-
20,14.10.2021,05:00,05:15,84427,9668,-,-
21,14.10.2021,05:15,05:30,5217,299,-,-
22,14.10.2021,05:30,05:45,1466,465,-,-
23,14.10.2021,05:45,06:00,8842,8,-,-
24,14.10.2021,06:00,06:15,186311,317,-,-
25,14.10.2021,06:15,06:30,62247,320,-,-
26,14.10.2021,06:30,06:45,696,4,-,-
27,14.10.2021,06:45,07:00,1479,129,-,-
28,14.10.2021,07:00,07:15,177440,86,-,-
29,14.10.2021,07:15,07:30,1,79112,-,-
30,14.10.2021,07:30,07:45,0,99334,-,-
31,14.10.2021,07:45,08:00,3,164485,-,-
32,14.10.2021,08:00,08:15,820,14086,-,-
33,14.10.2021,08:15,08:30,807,9567,-,-
34,14.10.2021,08:30,08:45,3,46295,-,-
35,14.10.2021,08:45,09:00,167,144,-,-
36,14.10.2021,09:00,09:15,353,6621,-,-
37,14.10.2021,09:15,09:30,89,24006,-,-
38,14.10.2021,09:30,09:45,4,122203,-,-
39,14.10.2021,09:45,10:00,321,28094,-,-
40,14.10.2021,10:00,10:15,21,175619,-,-
41,14.10.2021,10:15,10:30,423,81231,-,-
42,14.10.2021,10:30,10:45,362,51697,-,-
43,14.10.2021,10:45,11:00,1239,5,-,-
44,14.10.2021,11:00,11:15,4460,496,-,-
45,14.10.2021,11:15,11:30,1635,1210,-,-
46,14.10.2021,11:30,11:45,1339,2,-,-
47,14.10.2021,11:45,12:00,533,36,-,-
48,14.10.2021,12:00,12:15,335,587,-,-
49,14.10.2021,12:15,12:30,851,0,-,-
50,14.10.2021,12:30,12:45,224,29751,-,-
51,14.10.2021,12:45,13:00,15944,0,-,-
52,14.10.2021,13:00,13:15,293,83194,-,-
53,14.10.2021,13:15,13:30,42,132616,-,-
54,14.10.2021,13:30,13:45,28,96866,-,-
55,14.10.2021,13:45,14:00,1312,1,-,-
56,14.10.2021,14:00,14:15,142,1272,-,-
57,14.10.2021,14:15,14:30,222,29878,-,-
58,14.10.2021,14:30,14:45,719,29,-,-
59,14.10.2021,14:45,15:00,1003,2,-,-
60,14.10.2021,15:00,15:15,5170,0,-,-
61,14.10.2021,15:15,15:30,5437,0,-,-
62,14.10.2021,15:30,15:45,1411,0,-,-
63,14.10.2021,15:45,16:00,1098,0,-,-
64,14.10.2021,16:00,16:15,1442,7719,-,-
65,14.10.2021,16:15,16:30,551,3928,-,-
66,14.10.2021,16:30,16:45,15,65061,-,-
67,14.10.2021,16:45,17:00,179,107693,-,-
68,14.10.2021,17:00,17:15,726,4138,-,-
69,14.10.2021,17:15,17:30,592,31715,-,-
70,14.10.2021,17:30,17:45,0,85119,-,-
71,14.10.2021,17:45,18:00,11,159267,-,-
72,14.10.2021,18:00,18:15,831,123,-,-
73,14.10.2021,18:15,18:30,130,142622,-,-
74,14.10.2021,18:30,18:45,78,189712,-,-
75,14.10.2021,18:45,19:00,0,304289,-,-
76,14.10.2021,19:00,19:15,0,381830,-,-
77,14.10.2021,19:15,19:30,107,113682,-,-
78,14.10.2021,19:30,19:45,500,48428,-,-
79,14.10.2021,19:45,20:00,681,0,-,-
80,14.10.2021,20:00,20:15,170,109968,-,-
81,14.10.2021,20:15,20:30,58204,1,-,-
82,14.10.2021,20:30,20:45,12527,0,-,-
83,14.10.2021,20:45,21:00,8921,1,-,-
84,14.10.2021,21:00,21:15,118,5959,-,-
85,14.10.2021,21:15,21:30,384,30667,-,-
86,14.10.2021,21:30,21:45,1331,0,-,-
87,14.10.2021,21:45,22:00,2516,0,-,-
