,Date,Time from,Time to,betr. [MW],qual. [MW]
0,14.10.2021,00:00,00:15,-99062,-
1,14.10.2021,00:15,00:30,-118771,-
2,14.10.2021,00:30,00:45,-269771,-
3,14.10.2021,00:45,01:00,-372201,-
4,14.10.2021,01:00,01:15,-69421,-
5,14.10.2021,01:15,01:30,-131446,-
6,14.10.2021,01:30,01:45,-97556,-
7,14.10.2021,01:45,02:00,-11245,-
8,14.10.2021,02:00,02:15,181516,-
9,14.10.2021,02:15,02:30,82159,-
10,14.10.2021,02:30,02:45,-39518,-
11,14.10.2021,02:45,03:00,115987,-
12,14.10.2021,03:00,03:15,315669,-
13,14.10.2021,03:15,03:30,232030,-
14,14.10.2021,03:30,03:45,204002,-
15,14.10.2021,03:45,04:00,42092,-
16,14.10.2021,04:00,04:15,-17522,-
17,14.10.2021,04:15,04:30,-76834,-
18,14.10.2021,04:30,04:45,-140526,-
19,14.10.2021,04:45,05:00,-298091,-
20,14.10.2021,05:00,05:15,-166680,-
21,14.10.2021,05:15,05:30,-75339,-
22,14.10.2021,05:30,05:45,-181128,-
23,14.10.2021,05:45,06:00,-106252,-
24,14.10.2021,06:00,06:15,-355792,-
25,14.10.2021,06:15,06:30,-425063,-
26,14.10.2021,06:30,06:45,-495215,-
27,14.10.2021,06:45,07:00,-400935,-
28,14.10.2021,07:00,07:15,39644,-
29,14.10.2021,07:15,07:30,-35077,-
30,14.10.2021,07:30,07:45,-243616,-
31,14.10.2021,07:45,08:00,-456237,-
32,14.10.2021,08:00,08:15,-503814,-
33,14.10.2021,08:15,08:30,-382965,-
34,14.10.2021,08:30,08:45,-479680,-
35,14.10.2021,08:45,09:00,-345467,-
36,14.10.2021,09:00,09:15,-299504,-
37,14.10.2021,09:15,09:30,-253523,-
38,14.10.2021,09:30,09:45,-48089,-
39,14.10.2021,09:45,10:00,-140513,-
40,14.10.2021,10:00,10:15,-23321,-
41,14.10.2021,10:15,10:30,149092,-
42,14.10.2021,10:30,10:45,247865,-
43,14.10.2021,10:45,11:00,406118,-
44,14.10.2021,11:00,11:15,375645,-
45,14.10.2021,11:15,11:30,317438,-
46,14.10.2021,11:30,11:45,511472,-
47,14.10.2021,11:45,12:00,421959,-
48,14.10.2021,12:00,12:15,307928,-
49,14.10.2021,12:15,12:30,278073,-
50,14.10.2021,12:30,12:45,137387,-
51,14.10.2021,12:45,13:00,11726,-
52,14.10.2021,13:00,13:15,97476,-
53,14.10.2021,13:15,13:30,48844,-
54,14.10.2021,13:30,13:45,-196590,-
55,14.10.2021,13:45,14:00,-427394,-
56,14.10.2021,14:00,14:15,-670197,-
57,14.10.2021,14:15,14:30,-608072,-
58,14.10.2021,14:30,14:45,-503971,-
59,14.10.2021,14:45,15:00,-443158,-
60,14.10.2021,15:00,15:15,-154942,-
61,14.10.2021,15:15,15:30,-94157,-
62,14.10.2021,15:30,15:45,-64596,-
63,14.10.2021,15:45,16:00,-127325,-
64,14.10.2021,16:00,16:15,18349,-
65,14.10.2021,16:15,16:30,-18448,-
66,14.10.2021,16:30,16:45,155802,-
67,14.10.2021,16:45,17:00,2583,-
68,14.10.2021,17:00,17:15,3822,-
69,14.10.2021,17:15,17:30,93628,-
70,14.10.2021,17:30,17:45,144563,-
71,14.10.2021,17:45,18:00,116242,-
72,14.10.2021,18:00,18:15,296689,-
73,14.10.2021,18:15,18:30,325986,-
74,14.10.2021,18:30,18:45,115707,-
75,14.10.2021,18:45,19:00,358581,-
76,14.10.2021,19:00,19:15,501289,-
77,14.10.2021,19:15,19:30,44903,-
78,14.10.2021,19:30,19:45,75695,-
79,14.10.2021,19:45,20:00,165675,-
80,14.10.2021,20:00,20:15,-77467,-
81,14.10.2021,20:15,20:30,-377206,-
82,14.10.2021,20:30,20:45,-252463,-
83,14.10.2021,20:45,21:00,-41175,-
84,14.10.2021,21:00,21:15,-335658,-
85,14.10.2021,21:15,21:30,-161828,-
