,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,14.10.2021,00:00,00:15,1674,123830,-,-
1,14.10.2021,00:15,00:30,1489,162836,-,-
2,14.10.2021,00:30,00:45,2791,61509,-,-
3,14.10.2021,00:45,01:00,7647,0466,-,-
4,14.10.2021,01:00,01:15,3555,6570,-,-
5,14.10.2021,01:15,01:30,4406,4108,-,-
6,14.10.2021,01:30,01:45,5299,2885,-,-
7,14.10.2021,01:45,02:00,2014,4132,-,-
8,14.10.2021,02:00,02:15,2005,72492,-,-
9,14.10.2021,02:15,02:30,2393,57409,-,-
10,14.10.2021,02:30,02:45,20409,0272,-,-
11,14.10.2021,02:45,03:00,27994,0143,-,-
12,14.10.2021,03:00,03:15,31523,0096,-,-
13,14.10.2021,03:15,03:30,35401,0179,-,-
14,14.10.2021,03:30,03:45,3132,5667,-,-
15,14.10.2021,03:45,04:00,4222,2922,-,-
16,14.10.2021,04:00,04:15,2136,121284,-,-
17,14.10.2021,04:15,04:30,1909,17977,-,-
18,14.10.2021,04:30,04:45,1712,155126,-,-
19,14.10.2021,04:45,05:00,1805,190325,-,-
20,14.10.2021,05:00,05:15,14193,6363,-,-
21,14.10.2021,05:15,05:30,8287,3712,-,-
22,14.10.2021,05:30,05:45,2397,10679,-,-
23,14.10.2021,05:45,06:00,6491,1115,-,-
24,14.10.2021,06:00,06:15,23265,2466,-,-
25,14.10.2021,06:15,06:30,7999,7241,-,-
26,14.10.2021,06:30,06:45,3033,0732,-,-
27,14.10.2021,06:45,07:00,3481,1808,-,-
28,14.10.2021,07:00,07:15,34610,2798,-,-
29,14.10.2021,07:15,07:30,2770,148562,-,-
30,14.10.2021,07:30,07:45,2291,177519,-,-
31,14.10.2021,07:45,08:00,3210,181993,-,-
32,14.10.2021,08:00,08:15,2920,37302,-,-
33,14.10.2021,08:15,08:30,2939,38275,-,-
34,14.10.2021,08:30,08:45,2554,59077,-,-
35,14.10.2021,08:45,09:00,3827,3208,-,-
36,14.10.2021,09:00,09:15,2374,39780,-,-
37,14.10.2021,09:15,09:30,2022,57404,-,-
38,14.10.2021,09:30,09:45,2700,107509,-,-
39,14.10.2021,09:45,10:00,3602,28220,-,-
40,14.10.2021,10:00,10:15,3251,118974,-,-
41,14.10.2021,10:15,10:30,1830,78024,-,-
42,14.10.2021,10:30,10:45,2144,65143,-,-
43,14.10.2021,10:45,11:00,6338,0651,-,-
44,14.10.2021,11:00,11:15,3669,19756,-,-
45,14.10.2021,11:15,11:30,5115,16926,-,-
46,14.10.2021,11:30,11:45,5825,0566,-,-
47,14.10.2021,11:45,12:00,6660,0640,-,-
48,14.10.2021,12:00,12:15,2939,8297,-,-
49,14.10.2021,12:15,12:30,2284,1237,-,-
50,14.10.2021,12:30,12:45,2151,31001,-,-
51,14.10.2021,12:45,13:00,11725,0423,-,-
52,14.10.2021,13:00,13:15,2497,55149,-,-
53,14.10.2021,13:15,13:30,1387,84512,-,-
54,14.10.2021,13:30,13:45,1126,77903,-,-
55,14.10.2021,13:45,14:00,1729,1338,-,-
56,14.10.2021,14:00,14:15,2659,7467,-,-
57,14.10.2021,14:15,14:30,2091,34643,-,-
58,14.10.2021,14:30,14:45,2424,0722,-,-
59,14.10.2021,14:45,15:00,2764,0958,-,-
60,14.10.2021,15:00,15:15,8103,0353,-,-
61,14.10.2021,15:15,15:30,10153,0119,-,-
62,14.10.2021,15:30,15:45,7829,0313,-,-
63,14.10.2021,15:45,16:00,3370,0437,-,-
64,14.10.2021,16:00,16:15,3163,30920,-,-
65,14.10.2021,16:15,16:30,2243,19443,-,-
66,14.10.2021,16:30,16:45,1672,78992,-,-
67,14.10.2021,16:45,17:00,1227,95584,-,-
68,14.10.2021,17:00,17:15,3456,10422,-,-
69,14.10.2021,17:15,17:30,1737,25577,-,-
70,14.10.2021,17:30,17:45,1570,105010,-,-
71,14.10.2021,17:45,18:00,1525,114536,-,-
72,14.10.2021,18:00,18:15,3387,4195,-,-
73,14.10.2021,18:15,18:30,1567,84226,-,-
74,14.10.2021,18:30,18:45,1232,131183,-,-
75,14.10.2021,18:45,19:00,1310,165975,-,-
76,14.10.2021,19:00,19:15,1356,168527,-,-
77,14.10.2021,19:15,19:30,1769,80172,-,-
78,14.10.2021,19:30,19:45,2635,49160,-,-
79,14.10.2021,19:45,20:00,6080,0747,-,-
80,14.10.2021,20:00,20:15,1937,85479,-,-
81,14.10.2021,20:15,20:30,20250,3009,-,-
82,14.10.2021,20:30,20:45,3952,1603,-,-
83,14.10.2021,20:45,21:00,7270,1485,-,-
84,14.10.2021,21:00,21:15,3012,18025,-,-
85,14.10.2021,21:15,21:30,2157,29387,-,-
86,14.10.2021,21:30,21:45,3004,1978,-,-
87,14.10.2021,21:45,22:00,-,-,-,-
