,Date,Time from,Time to,betr. [MW],qual. [MW]
0,14.10.2021,00:00,00:15,-7363,-
1,14.10.2021,00:15,00:30,-211892,-
2,14.10.2021,00:30,00:45,-275660,-
3,14.10.2021,00:45,01:00,-127990,-
4,14.10.2021,01:00,01:15,-19184,-
5,14.10.2021,01:15,01:30,26547,-
6,14.10.2021,01:30,01:45,153763,-
7,14.10.2021,01:45,02:00,159372,-
8,14.10.2021,02:00,02:15,95838,-
9,14.10.2021,02:15,02:30,884,-
10,14.10.2021,02:30,02:45,120127,-
11,14.10.2021,02:45,03:00,208118,-
12,14.10.2021,03:00,03:15,206135,-
13,14.10.2021,03:15,03:30,227592,-
14,14.10.2021,03:30,03:45,133460,-
15,14.10.2021,03:45,04:00,140184,-
16,14.10.2021,04:00,04:15,163624,-
17,14.10.2021,04:15,04:30,66269,-
18,14.10.2021,04:30,04:45,108700,-
19,14.10.2021,04:45,05:00,117405,-
20,14.10.2021,05:00,05:15,-13778,-
21,14.10.2021,05:15,05:30,-29439,-
22,14.10.2021,05:30,05:45,-95630,-
23,14.10.2021,05:45,06:00,-43823,-
24,14.10.2021,06:00,06:15,55029,-
25,14.10.2021,06:15,06:30,-39544,-
26,14.10.2021,06:30,06:45,-45475,-
27,14.10.2021,06:45,07:00,-55543,-
28,14.10.2021,07:00,07:15,104428,-
29,14.10.2021,07:15,07:30,159735,-
30,14.10.2021,07:30,07:45,240512,-
31,14.10.2021,07:45,08:00,272906,-
32,14.10.2021,08:00,08:15,150033,-
33,14.10.2021,08:15,08:30,152920,-
34,14.10.2021,08:30,08:45,-39687,-
35,14.10.2021,08:45,09:00,-161201,-
36,14.10.2021,09:00,09:15,-150901,-
37,14.10.2021,09:15,09:30,-154263,-
38,14.10.2021,09:30,09:45,-88877,-
39,14.10.2021,09:45,10:00,82794,-
40,14.10.2021,10:00,10:15,-65487,-
41,14.10.2021,10:15,10:30,-125725,-
42,14.10.2021,10:30,10:45,-145794,-
43,14.10.2021,10:45,11:00,-224889,-
44,14.10.2021,11:00,11:15,-390055,-
45,14.10.2021,11:15,11:30,-507309,-
46,14.10.2021,11:30,11:45,-426166,-
47,14.10.2021,11:45,12:00,-431527,-
48,14.10.2021,12:00,12:15,-412421,-
49,14.10.2021,12:15,12:30,-380540,-
50,14.10.2021,12:30,12:45,-266796,-
51,14.10.2021,12:45,13:00,-16739,-
52,14.10.2021,13:00,13:15,-115932,-
53,14.10.2021,13:15,13:30,-175201,-
54,14.10.2021,13:30,13:45,-39176,-
55,14.10.2021,13:45,14:00,-17911,-
56,14.10.2021,14:00,14:15,138157,-
57,14.10.2021,14:15,14:30,-32348,-
58,14.10.2021,14:30,14:45,-94446,-
59,14.10.2021,14:45,15:00,66734,-
60,14.10.2021,15:00,15:15,30864,-
61,14.10.2021,15:15,15:30,43564,-
62,14.10.2021,15:30,15:45,-37405,-
63,14.10.2021,15:45,16:00,-154119,-
64,14.10.2021,16:00,16:15,-119730,-
65,14.10.2021,16:15,16:30,-109490,-
66,14.10.2021,16:30,16:45,-69850,-
67,14.10.2021,16:45,17:00,-47606,-
68,14.10.2021,17:00,17:15,-37820,-
69,14.10.2021,17:15,17:30,66821,-
70,14.10.2021,17:30,17:45,12063,-
71,14.10.2021,17:45,18:00,-20331,-
72,14.10.2021,18:00,18:15,121501,-
73,14.10.2021,18:15,18:30,169677,-
74,14.10.2021,18:30,18:45,175172,-
75,14.10.2021,18:45,19:00,190321,-
76,14.10.2021,19:00,19:15,357204,-
77,14.10.2021,19:15,19:30,169327,-
78,14.10.2021,19:30,19:45,218050,-
79,14.10.2021,19:45,20:00,210873,-
80,14.10.2021,20:00,20:15,226706,-
81,14.10.2021,20:15,20:30,167985,-
82,14.10.2021,20:30,20:45,104002,-
83,14.10.2021,20:45,21:00,180033,-
84,14.10.2021,21:00,21:15,-92909,-
85,14.10.2021,21:15,21:30,-29503,-
