,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,14.10.2021,00:00,00:15,30,21373,-,-
1,14.10.2021,00:15,00:30,0,32131,-,-
2,14.10.2021,00:30,00:45,180,7920,-,-
3,14.10.2021,00:45,01:00,16122,475,-,-
4,14.10.2021,01:00,01:15,9598,893,-,-
5,14.10.2021,01:15,01:30,11296,445,-,-
6,14.10.2021,01:30,01:45,15711,116,-,-
7,14.10.2021,01:45,02:00,309,418,-,-
8,14.10.2021,02:00,02:15,151,5200,-,-
9,14.10.2021,02:15,02:30,324,5629,-,-
10,14.10.2021,02:30,02:45,42360,241,-,-
11,14.10.2021,02:45,03:00,66373,0,-,-
12,14.10.2021,03:00,03:15,69182,0,-,-
13,14.10.2021,03:15,03:30,72924,0,-,-
14,14.10.2021,03:30,03:45,4235,405,-,-
15,14.10.2021,03:45,04:00,15781,591,-,-
16,14.10.2021,04:00,04:15,76,1486,-,-
17,14.10.2021,04:15,04:30,130,783,-,-
18,14.10.2021,04:30,04:45,21,18323,-,-
19,14.10.2021,04:45,05:00,0,31215,-,-
20,14.10.2021,05:00,05:15,25788,2748,-,-
21,14.10.2021,05:15,05:30,17619,184,-,-
22,14.10.2021,05:30,05:45,889,820,-,-
23,14.10.2021,05:45,06:00,6472,1854,-,-
24,14.10.2021,06:00,06:15,43959,73,-,-
25,14.10.2021,06:15,06:30,19975,128,-,-
26,14.10.2021,06:30,06:45,1324,451,-,-
27,14.10.2021,06:45,07:00,1137,694,-,-
28,14.10.2021,07:00,07:15,37165,229,-,-
29,14.10.2021,07:15,07:30,174,3430,-,-
30,14.10.2021,07:30,07:45,87,19863,-,-
31,14.10.2021,07:45,08:00,1,25513,-,-
32,14.10.2021,08:00,08:15,2,4379,-,-
33,14.10.2021,08:15,08:30,183,2159,-,-
34,14.10.2021,08:30,08:45,242,1883,-,-
35,14.10.2021,08:45,09:00,318,315,-,-
36,14.10.2021,09:00,09:15,31,1193,-,-
37,14.10.2021,09:15,09:30,17,3209,-,-
38,14.10.2021,09:30,09:45,30,10449,-,-
39,14.10.2021,09:45,10:00,235,2111,-,-
40,14.10.2021,10:00,10:15,22,20945,-,-
41,14.10.2021,10:15,10:30,18,10436,-,-
42,14.10.2021,10:30,10:45,42,3707,-,-
43,14.10.2021,10:45,11:00,19155,355,-,-
44,14.10.2021,11:00,11:15,18947,56,-,-
45,14.10.2021,11:15,11:30,16779,132,-,-
46,14.10.2021,11:30,11:45,16954,772,-,-
47,14.10.2021,11:45,12:00,11206,3173,-,-
48,14.10.2021,12:00,12:15,562,5780,-,-
49,14.10.2021,12:15,12:30,295,851,-,-
50,14.10.2021,12:30,12:45,331,7583,-,-
51,14.10.2021,12:45,13:00,57721,221,-,-
52,14.10.2021,13:00,13:15,50,10854,-,-
53,14.10.2021,13:15,13:30,0,28725,-,-
54,14.10.2021,13:30,13:45,18,27349,-,-
55,14.10.2021,13:45,14:00,81,1469,-,-
56,14.10.2021,14:00,14:15,151,2306,-,-
57,14.10.2021,14:15,14:30,189,16687,-,-
58,14.10.2021,14:30,14:45,523,494,-,-
59,14.10.2021,14:45,15:00,466,410,-,-
60,14.10.2021,15:00,15:15,23628,73,-,-
61,14.10.2021,15:15,15:30,52212,0,-,-
62,14.10.2021,15:30,15:45,41819,0,-,-
63,14.10.2021,15:45,16:00,8548,851,-,-
64,14.10.2021,16:00,16:15,2646,4467,-,-
65,14.10.2021,16:15,16:30,95,1925,-,-
66,14.10.2021,16:30,16:45,27,15167,-,-
67,14.10.2021,16:45,17:00,0,23808,-,-
68,14.10.2021,17:00,17:15,1156,3029,-,-
69,14.10.2021,17:15,17:30,105,5597,-,-
70,14.10.2021,17:30,17:45,0,25131,-,-
71,14.10.2021,17:45,18:00,6,26677,-,-
72,14.10.2021,18:00,18:15,42,2324,-,-
73,14.10.2021,18:15,18:30,465,19880,-,-
74,14.10.2021,18:30,18:45,16,26885,-,-
75,14.10.2021,18:45,19:00,0,35568,-,-
76,14.10.2021,19:00,19:15,0,32689,-,-
77,14.10.2021,19:15,19:30,1391,20345,-,-
78,14.10.2021,19:30,19:45,4099,5297,-,-
79,14.10.2021,19:45,20:00,21874,280,-,-
80,14.10.2021,20:00,20:15,488,4254,-,-
81,14.10.2021,20:15,20:30,43432,214,-,-
82,14.10.2021,20:30,20:45,23331,186,-,-
83,14.10.2021,20:45,21:00,40247,31,-,-
84,14.10.2021,21:00,21:15,964,1906,-,-
85,14.10.2021,21:15,21:30,522,3370,-,-
