,Date,Time from,Time to,betr. [MW],qual. NEG [MW],qual. POS [MW],qual. [MW],NRV balance more than 80% of the contracted control reserve,MOL Deviation,Explanation
75,14.10.2021,18:45,19:00,952991.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
76,14.10.2021,19:00,19:15,1.263958,-,-,-,,,
77,14.10.2021,19:15,19:30,348067.0,-,-,-,,,
78,14.10.2021,19:30,19:45,245411.0,-,-,-,,,
79,14.10.2021,19:45,20:00,7017.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
80,14.10.2021,20:00,20:15,401606.0,-,-,-,,,
81,14.10.2021,20:15,20:30,-230730.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
82,14.10.2021,20:30,20:45,-26029.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
83,14.10.2021,20:45,21:00,137309.0,-,-,-,,,
84,14.10.2021,21:00,21:15,93797.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
85,14.10.2021,21:15,21:30,265726.0,-,-,-,,,
