,Date,Time from,Time to,betr. [MW],qual. [MW]
0,14.10.2021,00:00,00:15,-127000,-
1,14.10.2021,00:15,00:30,45000,-
2,14.10.2021,00:30,00:45,117000,-
3,14.10.2021,00:45,01:00,113000,-
4,14.10.2021,01:00,01:15,270000,-
5,14.10.2021,01:15,01:30,251000,-
6,14.10.2021,01:30,01:45,168000,-
7,14.10.2021,01:45,02:00,134000,-
8,14.10.2021,02:00,02:15,-8000,-
9,14.10.2021,02:15,02:30,-103000,-
10,14.10.2021,02:30,02:45,-388000,-
11,14.10.2021,02:45,03:00,-163000,-
12,14.10.2021,03:00,03:15,-188000,-
13,14.10.2021,03:15,03:30,-370000,-
14,14.10.2021,03:30,03:45,-133000,-
15,14.10.2021,03:45,04:00,-66000,-
16,14.10.2021,04:00,04:15,72000,-
17,14.10.2021,04:15,04:30,-74000,-
18,14.10.2021,04:30,04:45,-10000,-
19,14.10.2021,04:45,05:00,106000,-
20,14.10.2021,05:00,05:15,133000,-
21,14.10.2021,05:15,05:30,236000,-
22,14.10.2021,05:30,05:45,188000,-
23,14.10.2021,05:45,06:00,148000,-
24,14.10.2021,06:00,06:15,120000,-
25,14.10.2021,06:15,06:30,262000,-
26,14.10.2021,06:30,06:45,68000,-
27,14.10.2021,06:45,07:00,259000,-
28,14.10.2021,07:00,07:15,340000,-
29,14.10.2021,07:15,07:30,594000,-
30,14.10.2021,07:30,07:45,596000,-
31,14.10.2021,07:45,08:00,472000,-
32,14.10.2021,08:00,08:15,-77000,-
33,14.10.2021,08:15,08:30,88000,-
34,14.10.2021,08:30,08:45,351000,-
35,14.10.2021,08:45,09:00,261000,-
36,14.10.2021,09:00,09:15,302000,-
37,14.10.2021,09:15,09:30,191000,-
38,14.10.2021,09:30,09:45,110000,-
39,14.10.2021,09:45,10:00,128000,-
40,14.10.2021,10:00,10:15,464000,-
41,14.10.2021,10:15,10:30,514000,-
42,14.10.2021,10:30,10:45,524000,-
43,14.10.2021,10:45,11:00,331000,-
44,14.10.2021,11:00,11:15,273000,-
45,14.10.2021,11:15,11:30,279000,-
46,14.10.2021,11:30,11:45,-45000,-
47,14.10.2021,11:45,12:00,-62000,-
48,14.10.2021,12:00,12:15,124000,-
49,14.10.2021,12:15,12:30,15000,-
50,14.10.2021,12:30,12:45,144000,-
51,14.10.2021,12:45,13:00,-226000,-
52,14.10.2021,13:00,13:15,-79000,-
53,14.10.2021,13:15,13:30,-243000,-
54,14.10.2021,13:30,13:45,-336000,-
55,14.10.2021,13:45,14:00,-259000,-
56,14.10.2021,14:00,14:15,-78000,-
57,14.10.2021,14:15,14:30,163000,-
58,14.10.2021,14:30,14:45,165000,-
59,14.10.2021,14:45,15:00,154000,-
60,14.10.2021,15:00,15:15,-48000,-
61,14.10.2021,15:15,15:30,97000,-
62,14.10.2021,15:30,15:45,115000,-
63,14.10.2021,15:45,16:00,174000,-
64,14.10.2021,16:00,16:15,-61000,-
65,14.10.2021,16:15,16:30,35000,-
66,14.10.2021,16:30,16:45,150000,-
67,14.10.2021,16:45,17:00,310000,-
68,14.10.2021,17:00,17:15,437000,-
69,14.10.2021,17:15,17:30,494000,-
70,14.10.2021,17:30,17:45,403000,-
71,14.10.2021,17:45,18:00,555000,-
72,14.10.2021,18:00,18:15,501000,-
73,14.10.2021,18:15,18:30,216000,-
74,14.10.2021,18:30,18:45,149000,-
75,14.10.2021,18:45,19:00,184000,-
76,14.10.2021,19:00,19:15,310000,-
77,14.10.2021,19:15,19:30,131000,-
78,14.10.2021,19:30,19:45,112000,-
79,14.10.2021,19:45,20:00,52000,-
80,14.10.2021,20:00,20:15,183000,-
81,14.10.2021,20:15,20:30,-24000,-
82,14.10.2021,20:30,20:45,-236000,-
83,14.10.2021,20:45,21:00,-231000,-
84,14.10.2021,21:00,21:15,62000,-
85,14.10.2021,21:15,21:30,-5000,-
